research_company_key,company_name,canonical_domain,headquarters_city,province,country,operating_status,short_description,primary_sector,employee_band,founded_year,last_verified_date,source_url
ottawa-shopify,Shopify,shopify.com,Ottawa,Ontario,Canada,active,Commerce infrastructure platform,Commerce software,,,2026-08-05,https://www.shopify.com/investors/investor-faqs
ottawa-kinaxis,Kinaxis,kinaxis.com,Ottawa,Ontario,Canada,active,Supply chain orchestration platform,Supply chain software,,,2026-08-05,https://kinaxis.com/en/about
ottawa-calian,Calian,calian.com,Ottawa,Ontario,Canada,active,Mission-critical solutions for regulated sectors,Mission-critical technology and services,,1982,2026-08-05,https://www.calian.com/about-calian/
ottawa-solace,Solace,solace.com,Ottawa,Ontario,Canada,active,Real-time event-driven data platform,Data infrastructure,,,2026-08-05,https://solace.com/company/
ottawa-fullscript,Fullscript,fullscript.com,Ottawa,Ontario,Canada,active,Care delivery platform for whole-person medicine,Health technology,,2011,2026-08-05,https://fullscript.com/about
ottawa-assent,Assent,assent.com,Ottawa,Ontario,Canada,active,Supply chain sustainability and compliance platform,Supply chain compliance software,,2010,2026-08-05,https://www.assent.com/company/our-story/
ottawa-rewind,Rewind,rewind.com,Ottawa,Ontario,Canada,active,Backup and recovery for SaaS and cloud data,Data protection software,,2015,2026-08-05,https://rewind.com/about-us/
ottawa-field-effect,Field Effect,fieldeffect.com,Ottawa,Ontario,Canada,active,Managed cybersecurity and cyber training solutions,Cybersecurity,,,2026-08-05,https://fieldeffect.com/resources/case-study/ictc
ottawa-mindbridge,MindBridge,mindbridge.ai,Ottawa,Ontario,Canada,active,AI platform for financial oversight and audit risk,Financial technology,,2015,2026-08-05,https://www.mindbridge.ai/company/
ottawa-ranovus,RANOVUS,ranovus.com,Ottawa,Ontario,Canada,active,Photonics interconnect solutions for data infrastructure,Photonics and hardware,,2012,2026-08-05,https://ranovus.com/contact-us/
