research_company_key,source_name,source_title,source_url,evidence_type,observed_date,verification_status,access_restriction
ottawa-shopify,Shopify,Investor FAQs,https://www.shopify.com/investors/investor-faqs,company_identity,2026-08-05,official_source,public_web
ottawa-kinaxis,Kinaxis,About Kinaxis,https://kinaxis.com/en/about,company_identity,2026-08-05,official_source,public_web
ottawa-calian,Calian,About Calian,https://www.calian.com/about-calian/,company_identity,2026-08-05,official_source,public_web
ottawa-solace,Solace,Company,https://solace.com/company/,company_identity,2026-08-05,official_source,public_web
ottawa-fullscript,Fullscript,About Fullscript,https://fullscript.com/about,company_identity,2026-08-05,official_source,public_web
ottawa-assent,Assent,Our Story,https://www.assent.com/company/our-story/,company_identity,2026-08-05,official_source,public_web
ottawa-rewind,Rewind,About Us,https://rewind.com/about-us/,company_identity,2026-08-05,official_source,public_web
ottawa-field-effect,Field Effect,ICTC case study,https://fieldeffect.com/resources/case-study/ictc,company_identity,2026-08-05,official_source,public_web
ottawa-mindbridge,MindBridge,Company,https://www.mindbridge.ai/company/,company_identity,2026-08-05,official_source,public_web
ottawa-ranovus,RANOVUS,Contact Us,https://ranovus.com/contact-us/,company_identity,2026-08-05,official_source,public_web
ottawa-shopify,Shopify,Careers,https://www.shopify.com/careers,job_posting_index,2026-08-05,official_source,public_web
ottawa-kinaxis,Kinaxis,Careers,https://www.kinaxis.com/en/careers,job_posting_index,2026-08-05,official_source,public_web
ottawa-kinaxis,Kinaxis,Newsroom,https://www.kinaxis.com/en/news,company_activity,2026-08-05,official_source,public_web
ottawa-calian,Calian,Ottawa careers,https://careers.calian.com/ottawa/,job_posting_index,2026-08-05,official_source,public_web
ottawa-calian,Calian,News room,https://www.calian.com/space/news-media/,company_activity,2026-08-05,official_source,public_web
ottawa-solace,Solace,Careers,https://solace.com/careers/,job_posting_index,2026-08-05,official_source,public_web
ottawa-solace,Solace,Contact,https://solace.com/contact/,company_location,2026-08-05,official_source,public_web
ottawa-fullscript,Fullscript,Careers,https://fullscript.com/careers,job_posting_index,2026-08-05,official_source,public_web
ottawa-assent,Assent,Newsroom,https://www.assent.com/newsroom/,company_activity,2026-08-05,official_source,public_web
ottawa-assent,Assent,Careers,https://www.assent.com/careers/,job_posting_index,2026-08-05,official_source,public_web
ottawa-rewind,Rewind,Careers,https://rewind.com/careers/,job_posting_index,2026-08-05,official_source,public_web
ottawa-rewind,Rewind,Contact,https://rewind.com/contact/,company_location,2026-08-05,official_source,public_web
ottawa-field-effect,Field Effect,Careers,https://fieldeffect.com/careers,job_posting_index,2026-08-05,official_source,public_web
ottawa-field-effect,Field Effect,Leadership,https://fieldeffect.com/company/leadership-team,company_identity,2026-08-05,official_source,public_web
ottawa-mindbridge,MindBridge,Careers,https://www.mindbridge.ai/careers/,job_posting_index,2026-08-05,official_source,public_web
ottawa-mindbridge,MindBridge,Newsroom,https://www.mindbridge.ai/news/,company_activity,2026-08-05,official_source,public_web
ottawa-ranovus,RANOVUS,Careers,https://ranovus.com/careers/,job_posting_index,2026-08-05,official_source,public_web
ottawa-ranovus,RANOVUS,News,https://ranovus.com/news/,company_activity,2026-08-05,official_source,public_web
